player,pos,age,tm,g,mp,fg,fg%,3p,3p%,2p,2p%,efg%,ft,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,division
Precious Achiuwa,C,23,TOR,38,23.3,3.9,0.482,0.5,0.26,3.4,0.557,0.515,1.9,0.689,2.0,4.6,6.6,1.0,0.6,0.7,1.2,2.1,10.2,atlantico
Steven Adams,C,29,MEM,42,27.0,3.7,0.597,0.0,0.0,3.7,0.599,0.597,1.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,sudoeste
Bam Adebayo,C,25,MIA,57,35.0,8.4,0.536,0.0,0.083,8.4,0.543,0.537,4.4,0.8,2.6,7.2,9.8,3.2,1.2,0.8,2.5,2.8,21.2,sudeste
Ochai Agbaji,SG,22,UTA,39,15.6,1.8,0.483,0.9,0.396,0.9,0.621,0.604,0.4,0.682,0.7,1.1,1.8,0.6,0.2,0.1,0.3,1.4,5.0,noroeste
Santi Aldama,PF,22,MEM,56,22.0,3.3,0.474,1.4,0.364,2.0,0.601,0.571,1.4,0.729,1.0,3.6,4.6,1.2,0.7,0.7,0.7,1.9,9.4,sudoeste
Nickeil Alexander-Walker,SG,24,TOT,40,14.5,2.3,0.479,1.0,0.412,1.3,0.546,0.582,0.7,0.675,0.3,1.4,1.7,2.0,0.6,0.4,1.2,1.5,6.3,atlantico
Nickeil Alexander-Walker,SG,24,UTA,36,14.7,2.3,0.488,1.0,0.402,1.3,0.578,0.591,0.8,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,noroeste
Nickeil Alexander-Walker,SG,24,MIN,4,13.0,2.5,0.417,1.3,0.5,1.3,0.357,0.521,0.0,0.0,0.5,1.5,2.0,0.5,0.3,0.5,1.0,0.8,6.3,noroeste
Grayson Allen,SG,27,MIL,56,27.6,3.4,0.44,2.0,0.404,1.4,0.503,0.569,1.7,0.906,0.9,2.5,3.4,2.4,0.8,0.2,1.1,1.6,10.5,central
Jarrett Allen,C,24,CLE,57,33.2,6.2,0.654,0.0,0.111,6.2,0.664,0.655,2.5,0.733,3.2,6.7,9.9,1.6,0.8,1.2,1.5,2.2,14.8,central
Jose Alvarado,PG,24,NOP,61,21.5,3.3,0.411,1.4,0.336,1.9,0.488,0.496,1.1,0.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0,sudoeste
Kyle Anderson,PF,29,MIN,50,26.2,3.2,0.503,0.6,0.423,2.6,0.527,0.551,1.7,0.764,0.8,4.1,4.8,4.1,1.1,0.9,1.4,2.1,8.6,noroeste
Giannis Antetokounmpo,PF,28,MIL,48,32.5,11.1,0.538,0.8,0.27,10.3,0.583,0.557,8.2,0.646,2.3,9.7,12.0,5.4,0.8,0.8,3.9,3.3,31.3,central
Thanasis Antetokounmpo,SF,30,MIL,26,4.1,0.2,0.25,0.0,0.0,0.2,0.313,0.25,0.2,0.5,0.3,0.7,1.0,0.2,0.1,0.1,0.3,0.5,0.5,central
Cole Anthony,PG,22,ORL,42,24.7,4.1,0.435,1.1,0.333,3.0,0.488,0.492,2.5,0.89,0.6,3.9,4.5,4.1,0.6,0.6,1.5,2.5,11.8,sudeste
OG Anunoby,SF,25,TOR,48,35.8,6.1,0.453,1.8,0.356,4.3,0.514,0.522,2.4,0.825,1.4,3.9,5.4,2.0,2.0,0.8,2.1,3.0,16.4,atlantico
Ryan Arcidiacono,PG,28,TOT,14,4.9,0.3,0.286,0.3,0.444,0.0,0.0,0.429,0.0,0.7460646853146854,0.0,0.7,0.7,0.6,0.1,0.0,0.2,0.4,0.9,atlantico
Ryan Arcidiacono,PG,28,NYK,11,2.4,0.1,0.2,0.1,0.333,0.0,0.0,0.3,0.0,0.7460646853146854,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3,atlantico
Ryan Arcidiacono,PG,28,POR,3,14.3,1.0,0.333,1.0,0.5,0.0,0.0,0.5,0.0,0.7460646853146854,0.0,2.0,2.0,2.0,0.0,0.0,0.7,1.0,3.0,noroeste
Deni Avdija,SF,22,WAS,58,26.3,3.3,0.439,0.9,0.294,2.4,0.539,0.499,1.7,0.752,1.0,5.2,6.2,2.6,0.9,0.5,1.5,2.9,9.1,sudeste
Deandre Ayton,C,24,PHO,53,30.3,8.2,0.591,0.1,0.304,8.0,0.6,0.595,2.2,0.739,2.8,7.3,10.1,2.0,0.6,0.8,1.9,2.8,18.7,pacifico
Udoka Azubuike,C,23,UTA,25,5.8,0.9,0.852,0.0,0.3302053872053872,0.9,0.852,0.852,0.1,0.333,0.6,1.6,2.2,0.2,0.2,0.2,0.4,0.5,1.9,noroeste
Marvin Bagley III,C,23,DET,27,21.6,4.7,0.538,0.3,0.243,4.4,0.593,0.557,1.6,0.698,2.5,4.1,6.6,0.6,0.5,0.7,0.9,2.0,11.4,central
Patrick Baldwin Jr.,SF,20,GSW,19,8.8,1.9,0.45,1.5,0.468,0.4,0.389,0.631,0.2,0.667,0.1,1.5,1.5,0.2,0.3,0.1,0.4,0.4,5.5,pacifico
LaMelo Ball,PG,21,CHO,36,35.2,8.2,0.411,4.0,0.376,4.2,0.45,0.51,2.8,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,sudeste
Mo Bamba,C,24,TOT,43,16.9,2.6,0.485,1.0,0.385,1.5,0.591,0.584,0.9,0.661,1.1,3.7,4.8,1.0,0.3,1.0,0.6,2.3,7.1,atlantico
Mo Bamba,C,24,ORL,40,17.0,2.7,0.495,1.1,0.398,1.6,0.594,0.596,0.9,0.686,1.2,3.4,4.6,1.1,0.3,1.0,0.6,2.2,7.3,sudeste
Mo Bamba,C,24,LAL,3,14.7,1.3,0.308,0.7,0.222,0.7,0.5,0.385,1.3,0.5,0.7,6.7,7.3,0.7,0.0,1.0,1.0,3.7,4.7,pacifico
Paolo Banchero,PF,20,ORL,55,33.7,6.5,0.421,1.1,0.274,5.4,0.474,0.457,5.7,0.754,1.2,5.5,6.6,3.6,0.9,0.5,2.7,2.2,19.9,sudeste
Desmond Bane,SG,24,MEM,37,31.1,7.5,0.463,3.0,0.416,4.5,0.502,0.556,3.3,0.904,0.7,4.2,5.0,4.1,1.0,0.4,2.2,2.4,21.3,sudoeste
Dalano Banton,PG,23,TOR,27,9.3,1.7,0.411,0.5,0.283,1.2,0.5,0.469,0.6,0.789,0.3,1.0,1.3,1.1,0.5,0.4,0.6,1.1,4.4,atlantico
Dominick Barlow,SF,19,SAS,11,10.1,1.3,0.538,0.0,0.0,1.3,0.636,0.538,0.8,0.9,1.3,1.3,2.5,0.6,0.2,0.2,0.5,1.9,3.4,sudoeste
Harrison Barnes,PF,30,SAC,60,32.6,4.5,0.469,1.6,0.37,2.9,0.553,0.554,4.1,0.836,1.0,3.6,4.6,1.6,0.8,0.1,1.1,1.3,14.7,pacifico
Scottie Barnes,PF,21,TOR,59,35.3,6.0,0.453,0.9,0.301,5.1,0.499,0.488,2.6,0.769,2.3,4.7,7.0,4.8,1.0,0.9,2.1,2.2,15.5,atlantico
RJ Barrett,SG,22,NYK,56,34.1,6.9,0.429,1.8,0.33,5.1,0.479,0.484,4.0,0.753,0.9,4.3,5.2,2.8,0.5,0.2,2.3,2.6,19.5,atlantico
Will Barton,SG,32,WAS,40,19.6,2.8,0.387,1.3,0.38,1.5,0.395,0.479,0.9,0.778,0.3,2.5,2.8,2.4,0.4,0.3,1.1,1.0,7.7,sudeste
Charles Bassey,C,22,SAS,28,13.9,2.2,0.642,0.1,0.429,2.1,0.659,0.658,0.7,0.655,2.1,3.4,5.5,1.3,0.4,0.9,1.1,2.1,5.1,sudoeste
Keita Bates-Diop,SF,27,SAS,47,20.6,3.1,0.492,0.6,0.364,2.5,0.536,0.538,1.4,0.791,1.0,2.4,3.4,1.2,0.7,0.3,0.8,1.0,8.3,sudoeste
Nicolas Batum,PF,34,LAC,59,22.0,2.1,0.418,1.6,0.384,0.5,0.564,0.574,0.5,0.667,0.9,3.3,4.2,1.5,0.6,0.7,0.7,2.0,6.3,pacifico
Darius Bazley,PF,22,OKC,36,15.4,2.0,0.449,0.5,0.4,1.5,0.469,0.506,1.0,0.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,5.4,noroeste
Bradley Beal,SG,29,WAS,38,33.0,8.7,0.515,1.7,0.371,6.9,0.569,0.566,3.7,0.839,0.8,2.8,3.6,5.3,0.9,0.7,2.8,1.9,22.7,sudeste
Malik Beasley,SG,26,TOT,60,26.6,4.8,0.396,3.1,0.359,1.7,0.484,0.523,0.6,0.787,0.5,3.1,3.5,1.7,0.9,0.1,1.1,1.5,13.4,atlantico
Malik Beasley,SG,26,UTA,55,26.8,4.8,0.396,3.1,0.359,1.7,0.485,0.522,0.7,0.841,0.5,3.1,3.6,1.7,0.8,0.1,1.1,1.4,13.4,noroeste
Malik Beasley,SG,26,LAL,5,24.2,5.0,0.391,3.4,0.362,1.6,0.471,0.523,0.0,0.0,0.0,2.6,2.6,1.6,1.8,0.0,1.4,2.4,13.4,pacifico
MarJon Beauchamp,SF,22,MIL,39,14.6,2.1,0.396,1.0,0.319,1.1,0.506,0.49,0.5,0.724,0.9,1.5,2.4,0.7,0.5,0.1,0.9,1.5,5.6,central
DÄvis BertÄns,PF,30,DAL,34,10.6,1.4,0.423,1.1,0.381,0.3,0.714,0.59,0.3,0.833,0.2,0.8,0.9,0.4,0.2,0.1,0.3,1.1,4.1,sudoeste
Patrick Beverley,PG,34,TOT,47,26.8,2.1,0.398,1.2,0.341,0.9,0.506,0.51,0.9,0.764,0.6,2.6,3.2,2.6,0.9,0.6,0.9,2.7,6.3,atlantico
Patrick Beverley,PG,34,LAL,45,26.9,2.2,0.402,1.2,0.348,0.9,0.506,0.517,0.9,0.78,0.5,2.6,3.1,2.6,0.9,0.6,0.9,2.8,6.4,pacifico
Patrick Beverley,PG,34,CHI,2,24.0,1.0,0.25,0.5,0.167,0.5,0.5,0.313,1.5,0.6,1.0,4.0,5.0,2.5,0.0,0.5,1.0,2.5,4.0,central
Saddiq Bey,SF,23,TOT,56,28.6,4.6,0.407,2.0,0.358,2.6,0.454,0.494,3.3,0.863,1.1,3.5,4.6,1.5,0.9,0.2,1.0,1.6,14.5,atlantico
Saddiq Bey,SF,23,DET,52,28.8,4.7,0.404,1.9,0.345,2.8,0.46,0.488,3.5,0.861,1.1,3.5,4.7,1.6,1.0,0.2,1.0,1.7,14.8,central
Saddiq Bey,SF,23,ATL,4,24.8,3.3,0.464,2.5,0.588,0.8,0.273,0.643,0.8,1.0,1.3,3.3,4.5,0.5,0.5,0.3,1.0,1.3,9.8,sudeste
Khem Birch,C,30,TOR,20,8.1,1.0,0.594,0.1,0.5,0.9,0.6,0.609,0.2,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,atlantico
