player,year,draft_pick,height,wingspan,vertical,weight,agility,sprint
Blake Griffin,2009,1.0,82.0,83.25,35.5,248.0,10.95,3.28
Terrence Williams,2009,11.0,78.25,81.0,37.0,213.0,11.15,3.18
Gerald Henderson,2009,12.0,77.0,82.25,35.0,215.0,11.17,3.14
Tyler Hansbrough,2009,13.0,81.5,83.5,34.0,234.0,11.12,3.27
Earl Clark,2009,14.0,82.25,86.5,33.0,228.0,11.17,3.35
Austin Daye,2009,15.0,82.75,86.75,28.0,192.0,12.11,3.55
James Johnson,2009,16.0,79.75,84.75,35.0,257.0,11.21,3.23
Jrue Holiday,2009,17.0,76.25,79.0,34.0,199.0,10.64,3.21
Ty Lawson,2009,18.0,72.5,72.75,36.5,197.0,10.98,3.12
Jeff Teague,2009,19.0,73.5,79.5,36.5,175.0,11.05,3.18
Hasheem Thabeet,2009,2.0,86.5,90.25,35.13666666666666,267.0,11.33024774774775,3.299663677130045
Eric Maynor,2009,20.0,75.25,74.5,31.5,164.0,10.78,3.19
Darren Collison,2009,21.0,73.5,75.0,33.5,166.0,10.45,3.1
Omri Casspi,2009,23.0,81.25,81.25,32.5,211.0,11.15,3.28
Byron Mullens,2009,24.0,85.25,85.5,32.5,258.0,11.1,3.45
Damion James,2009,24.0,79.5,84.75,37.0,224.0,11.23,3.09
Rodrigue Beaubois,2009,25.0,74.25,81.75,39.0,182.0,10.49,3.15
Taj Gibson,2009,26.0,81.75,88.0,30.0,214.0,11.56,3.41
DeMarre Carroll,2009,27.0,79.75,82.0,35.13666666666666,207.0,11.33024774774775,3.299663677130045
Greivis Vasquez,2009,28.0,78.0,79.25,28.0,197.0,11.13,3.48
Wayne Ellington,2009,28.0,77.25,78.5,38.0,202.0,11.14,3.2
Toney Douglas,2009,29.0,74.0,78.0,32.5,183.0,10.63,3.03
James Harden,2009,3.0,77.25,82.75,37.0,222.0,11.1,3.13
Jeff Pendergraph,2009,31.0,82.0,85.0,35.0,240.0,11.98,3.14
Jermaine Taylor,2009,32.0,76.75,80.75,37.5,207.0,11.54,3.32
Dante Cunningham,2009,33.0,80.25,83.0,35.0,227.0,11.18,3.26
DaJuan Summers,2009,35.0,80.5,84.75,34.5,243.0,10.94,3.17
Sam Young,2009,36.0,78.75,82.75,33.0,223.0,11.47,3.45
DeJuan Blair,2009,37.0,78.5,86.0,33.0,277.0,11.5,3.45
Tyreke Evans,2009,4.0,77.25,83.25,34.0,221.0,11.81,3.17
Derrick Brown,2009,40.0,80.5,86.5,35.5,225.0,11.26,3.13
Jodie Meeks,2009,41.0,76.0,76.5,37.0,211.0,10.96,3.1
