draft_pick,player,category
1.0,Blake Griffin,1.0
1.0,John Wall,1.0
1.0,Anthony Davis,1.0
2.0,Victor Oladipo,1.0
2.0,Michael Kidd-Gilchrist,1.0
2.0,Evan Turner,1.0
2.0,Hasheem Thabeet,1.0
2.0,Derrick Williams,1.0
2.0,D'Angelo Russell,1.0
3.0,Jaylen Brown,1.0
3.0,Bradley Beal,1.0
3.0,Otto Porter,1.0
3.0,Derrick Favors,1.0
3.0,James Harden,1.0
3.0,Enes Kanter,1.0
4.0,Wesley Johnson,1.0
4.0,Tyreke Evans,1.0
4.0,Aaron Gordon,1.0
4.0,Tristan Thompson,1.0
4.0,Cody Zeller,1.0
4.0,Dion Waiters,1.0
5.0,Kris Dunn,1.0
5.0,DeMarcus Cousins,1.0
5.0,Dante Exum,1.0
5.0,Thomas Robinson,1.0
5.0,De'Aaron Fox,1.0
6.0,Marcus Smart,1.0
6.0,Jonny Flynn,1.0
6.0,Willie Cauley-Stein,1.0
6.0,Ekpe Udoh,1.0
6.0,Buddy Hield,1.0
6.0,Nerlens Noel,1.0
6.0,Damian Lillard,1.0
7.0,Greg Monroe,1.0
7.0,Julius Randle,1.0
7.0,Ben McLemore,1.0
7.0,Harrison Barnes,1.0
7.0,Stephen Curry,1.0
8.0,Kentavious Caldwell-Pope,1.0
8.0,Stanley Johnson,1.0
8.0,Nik Stauskas,1.0
8.0,Jordan Hill,1.0
8.0,Al-Farouq Aminu,1.0
8.0,Terrence Ross,1.0
8.0,Brandon Knight,1.0
8.0,Marquese Chriss,1.0
9.0,Kemba Walker,1.0
9.0,Trey Burke,1.0
9.0,Noah Vonleh,1.0
9.0,Gordon Hayward,1.0
9.0,Frank Kaminsky,1.0
9.0,Demar DeRozan,1.0
9.0,Andre Drummond,1.0
9.0,Jakob Poeltl,1.0
10.0,Elfrid Payton,1.0
10.0,Jimmer Fredette,1.0
10.0,Zach Collins,1.0
10.0,Paul George,1.0
10.0,C.J. McCollum,1.0
10.0,Austin Rivers,1.0
10.0,Justise Winslow,1.0
10.0,Thon Maker,1.0
11.0,Klay Thompson,2.0
11.0,Myles Turner,2.0
11.0,Meyers Leonard,2.0
11.0,Terrence Williams,2.0
11.0,Doug McDermott,2.0
11.0,Michael Carter-Williams,2.0
11.0,Cole Aldrich,2.0
12.0,Alec Burks,2.0
12.0,Gerald Henderson,2.0
12.0,Luke Kennard,2.0
12.0,Xavier Henry,2.0
12.0,Jeremy Lamb,2.0
12.0,Taurean Prince,2.0
12.0,Trey Lyles,2.0
12.0,Steven Adams,2.0
13.0,Kendall Marshall,2.0
13.0,Devin Booker,2.0
13.0,Markieff Morris,2.0
13.0,Zach LaVine,2.0
13.0,Ed Davis,2.0
13.0,Donovan Mitchell,2.0
13.0,Kelly Olynyk,2.0
13.0,Tyler Hansbrough,2.0
14.0,T.J. Warren,2.0
14.0,Shabazz Muhammad,2.0
14.0,Bam Adebayo,2.0
14.0,Cameron Payne,2.0
14.0,Denzel Valentine,2.0
14.0,Marcus Morris,2.0
14.0,Earl Clark,2.0
14.0,Patrick Patterson,2.0
14.0,John Henson,2.0
15.0,Kelly Oubre,2.0
15.0,Justin Jackson,2.0
15.0,Moe Harkless,2.0
15.0,Kawhi Leonard,2.0
15.0,Larry Sanders,2.0
15.0,Austin Daye,2.0
15.0,Adreian Payne,2.0
16.0,Terry Rozier,2.0
16.0,James Johnson,2.0
16.0,Royce White,2.0
16.0,Luke Babbitt,2.0
16.0,Justin Patton,2.0
16.0,Nikola Vucevic,2.0
17.0,Jrue Holiday,2.0
17.0,Dennis Schroeder,2.0
17.0,James Young,2.0
17.0,Tyler Zeller,2.0
17.0,D.J. Wilson,2.0
17.0,Iman Shumpert,2.0
17.0,Wade Baldwin,2.0
17.0,Rashad Vaughn,2.0
18.0,Terrence Jones,2.0
18.0,Shane Larkin,2.0
18.0,Sam Dekker,2.0
18.0,Chris Singleton,2.0
18.0,T.J. Leaf,2.0
18.0,Eric Bledsoe,2.0
18.0,Henry Ellenson,2.0
18.0,Tyler Ennis,2.0
18.0,Ty Lawson,2.0
19.0,Andrew Nicholson,2.0
19.0,John Collins,2.0
19.0,Malik Beasley,2.0
19.0,Jerian Grant,2.0
19.0,Jeff Teague,2.0
19.0,Gary Harris,2.0
19.0,Tobias Harris,2.0
19.0,Avery Bradley,2.0
20.0,Harry Giles,2.0
20.0,Delon Wright,2.0
20.0,Tony Snell,2.0
20.0,Caris LeVert,2.0
20.0,Eric Maynor,2.0
20.0,James Anderson,2.0
21.0,DeAndre Bembry,3.0
21.0,Gorgui Dieng,3.0
21.0,Craig Brackins,3.0
21.0,Terrance Ferguson,3.0
21.0,Jared Sullinger,3.0
21.0,Nolan Smith,3.0
21.0,Darren Collison,3.0
21.0,Justin Anderson,3.0
22.0,Bobby Portis,3.0
22.0,Mason Plumlee,3.0
22.0,Kenneth Faried,3.0
22.0,Malachi Richardson,3.0
22.0,Jarrett Allen,3.0
22.0,Jordan Adams,3.0
22.0,Fab Melo,3.0
23.0,Trevor Booker,3.0
23.0,Rodney Hood,3.0
23.0,John Jenkins,3.0
23.0,OG Anunoby,3.0
23.0,Omri Casspi,3.0
23.0,Rondae Hollis-Jefferson,3.0
23.0,Solomon Hill,3.0
24.0,Shabazz Napier,3.0
24.0,Jared Cunningham,3.0
24.0,Tim Hardaway Jr,3.0
24.0,Tyus Jones,3.0
24.0,Tyler Lydon,3.0
24.0,Byron Mullens,3.0
24.0,Damion James,3.0
25.0,Brice Johnson,3.0
25.0,Jarell Martin,3.0
25.0,Reggie Bullock,3.0
25.0,Tony Wroten,3.0
25.0,Rodrigue Beaubois,3.0
25.0,Dominique Jones,3.0
25.0,Marshon Brooks,3.0
26.0,P.J. Hairston,3.0
26.0,Miles Plumlee,3.0
26.0,Jordan Hamilton,3.0
26.0,Taj Gibson,3.0
26.0,Caleb Swanigan,3.0
26.0,Andre Roberson,3.0
27.0,Arnett Moultrie,3.0
27.0,JaJuan Johnson (Purdue),3.0
27.0,Kyle Kuzma,3.0
27.0,Rudy Gobert,3.0
27.0,Larry Nance,3.0
27.0,Jordan Crawford,3.0
27.0,Pascal Siakam,3.0
27.0,DeMarre Carroll,3.0
28.0,Wayne Ellington,3.0
28.0,Norris Cole,3.0
28.0,Skal Labissiere,3.0
28.0,Tony Bradley,3.0
28.0,Perry Jones,3.0
28.0,Greivis Vasquez,3.0
28.0,R.J. Hunter,3.0
28.0,C.J. Wilcox,3.0
29.0,Archie Goodwin,3.0
29.0,Cory Joseph,3.0
29.0,Chris McCullough,3.0
29.0,Daniel Orton,3.0
29.0,Derrick White,3.0
