state,player,yrs
Alabama,Michael Ansley,3
Alabama,Keith Askins,9
Alabama,Carl Bailey,1
Alabama,Charles Barkley*,16
Alabama,Eric Bledsoe,7
Alabama,Tom Boswell,6
Alabama,Jason Caffey,8
Alabama,DeMarre Carroll,8
Alabama,Bobby Cattage,2
Alabama,Derrick Coleman,15
Alabama,DeMarcus Cousins,7
Alabama,Michael Curry,11
Alabama,Fennis Dembo,1
Alabama,John Douglas,2
Alabama,Leon Douglas,7
Alabama,John Drew,11
Alabama,T.R. Dunn,14
Alabama,Jim Farmer,5
Alabama,Rod Foster,3
Alabama,Mickell Gladness,1
Alabama,Orlando Graham,1
Alabama,Travis Grant,4
Alabama,JaMychal Green,3
Alabama,Lamar Green,6
Alabama,Darrin Hancock,3
Alabama,James Hardy,4
Alabama,Johnny High,4
Alabama,Cedrick Hordges,2
Alabama,Robert Horry,16
Alabama,Stanley Jackson,1
Alabama,Henry James,7
Alabama,Buck Johnson,7
Alabama,Ken Johnson,1
Alabama,Nate Johnston,1
Alabama,Edgar Jones,6
Alabama,Walter Jordan,1
Alabama,Larry Kenon,10
Alabama,Warren Kidd,1
Alabama,Stan Kimbrough,2
Alabama,Reggie King,6
Alabama,Antonio Lang,6
Alabama,James Lang,1
Alabama,Jeff Malone,13
Alabama,Keith McCord,1
Alabama,K.J. McDaniels,3
Alabama,Joe Meriweather,10
Alabama,Larry Moffett,1
Alabama,Jamario Moon,5
Alabama,Allen Murphy,2
Alabama,Pete Myers,9
Alabama,Wiley Peck,1
Alabama,Chuck Person,13
Alabama,Wesley Person,11
Alabama,Eddie Phillips,1
Alabama,Stan Pietkiewicz,3
Alabama,Chris Porter,1
Alabama,Theo Ratliff,16
Alabama,Oliver Robinson,1
Alabama,Roy Rogers,3
Alabama,Curtis Rowe,8
Alabama,Walter Sharpe,1
Alabama,Erick Strickland,9
Alabama,Andrew Toney,8
Alabama,Ben Wallace,16
Alabama,Gerald Wallace,14
Alabama,Marcus Webb,1
Alabama,Mario West,4
Alabama,Ennis Whatley,10
Alabama,D.J. White,6
Alabama,Rory White,5
Alabama,Duck Williams,1
Alaska,Mario Chalmers,8
Arizona,Mark Alarie,5
